merged_ID	child_1	child_2
node_1	2020-03-04t14-27-25z_m149_kernel_389_number_of_sequence_10748	2020-03-04t14-27-25z_m169_kernel_450_number_of_sequence_7056
node_2	2020-03-04t14-27-25z_m249_kernel_675_number_of_sequence_8898	2020-03-04t14-27-25z_m250_kernel_676_number_of_sequence_8968
node_3	node_1	node_2
node_4	2020-03-04t14-27-25z_m239_kernel_646_number_of_sequence_9243	2020-03-04t14-27-25z_m81_kernel_214_number_of_sequence_4823
node_5	2020-03-04t14-27-25z_m285_kernel_769_number_of_sequence_11655	2020-03-04t14-27-25z_m37_kernel_95_number_of_sequence_11260
node_6	2020-03-04t14-27-25z_m155_kernel_406_number_of_sequence_12618	2020-03-04t14-27-25z_m296_kernel_799_number_of_sequence_7901
node_7	2020-03-04t14-27-25z_m240_kernel_649_number_of_sequence_8108	node_6
node_8	node_3	node_7
node_9	node_5	node_8
node_10	2020-03-04t14-27-25z_m201_kernel_538_number_of_sequence_9956	2020-03-04t14-27-25z_m320_kernel_867_number_of_sequence_8336
node_11	2020-03-04t14-27-25z_m54_kernel_151_number_of_sequence_13482	node_10
node_12	2020-03-04t14-27-25z_m111_kernel_286_number_of_sequence_9209	node_11
node_13	2020-03-04t14-27-25z_m44_kernel_115_number_of_sequence_8285	node_9
node_14	2020-03-04t14-27-25z_m134_kernel_339_number_of_sequence_9493	node_4
node_15	node_12	node_14
node_16	node_13	node_15
node_17	2020-03-04t14-27-25z_m142_kernel_358_number_of_sequence_8490	node_16
node_18	2020-03-04t14-27-25z_m272_kernel_736_number_of_sequence_10683	node_17
node_19	2020-03-04t14-27-25z_m273_kernel_741_number_of_sequence_13343	node_18
